kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
11768142,K02626.01,Kepler-1652 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,38.097071700,3.0790000e-04,-3.0790000e-04,140.0035300,6.590000e-03,-6.590000e-03,0.9530,0.0190,-0.6880,4.30700,0.21000,-0.21000,9.1330e+02,5.910e+01,-5.910e+01,1.58,2.000e-01,-2.100e-01,242.0,,,0.81,0.30,-0.25,17.00,1,q1_q17_dr25_tce,3554.00,71.00,-80.00,4.867,0.055,-0.055,0.3980,0.0490,-0.0540,294.366090,49.915058,15.931
3642335,K03010.01,Kepler-1410 b,CONFIRMED,CANDIDATE,0.9960,0,0,0,0,60.866097400,6.4970000e-04,-6.4970000e-04,179.2867400,7.870000e-03,-7.870000e-03,0.0040,0.4630,-0.0040,4.39700,0.23800,-0.23800,7.1430e+02,5.370e+01,-5.370e+01,1.39,7.000e-02,-1.000e-01,244.0,,,0.84,0.17,-0.16,15.40,1,q1_q17_dr25_tce,3808.00,69.00,-76.00,4.734,0.033,-0.027,0.5220,0.0280,-0.0350,290.510190,38.743542,15.757
11497958,K01422.04,Kepler-296 f,CONFIRMED,CANDIDATE,0.9270,0,0,0,0,63.335471900,9.2700000e-04,-9.2700000e-04,162.6161000,1.110000e-02,-1.110000e-02,0.0290,0.4220,-0.0290,3.65100,0.25100,-0.25100,9.8300e+02,8.380e+01,-8.380e+01,1.18,1.500e-01,-1.800e-01,202.0,,,0.39,0.15,-0.13,13.00,5,q1_q17_dr25_tce,3526.00,71.00,-78.00,4.866,0.066,-0.044,0.3830,0.0480,-0.0580,286.540010,49.437328,15.921
4138008,K04742.01,Kepler-442 b,CONFIRMED,CANDIDATE,0.9930,0,0,0,0,112.303136000,1.7220000e-03,-1.7220000e-03,230.4383000,1.250000e-02,-1.250000e-02,0.2480,0.1910,-0.2480,5.86900,0.36200,-0.36200,5.0210e+02,4.410e+01,-4.410e+01,1.30,7.000e-02,-5.000e-02,241.0,,,0.79,0.15,-0.11,13.10,1,q1_q17_dr25_tce,4401.00,78.00,-78.00,4.677,0.017,-0.027,0.5950,0.0300,-0.0240,285.366580,39.280079,14.976
11497958,K01422.05,Kepler-296 e,CONFIRMED,CANDIDATE,0.9840,0,0,0,0,34.142050600,2.2890000e-04,-2.2890000e-04,136.0362400,5.590000e-03,-5.590000e-03,0.1050,0.3340,-0.1050,2.94500,0.17900,-0.17900,7.8800e+02,6.310e+01,-6.310e+01,1.06,1.300e-01,-1.600e-01,248.0,,,0.89,0.33,-0.30,13.30,4,q1_q17_dr25_tce,3526.00,71.00,-78.00,4.866,0.066,-0.044,0.3830,0.0480,-0.0580,286.540010,49.437328,15.921
6444896,K03138.01,Kepler-1649 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,8.689107640,3.3640000e-05,-3.3640000e-05,133.2355900,3.880000e-03,-3.880000e-03,0.0490,0.4170,-0.0490,1.16270,0.09510,-0.09510,1.6790e+03,1.340e+02,-1.340e+02,0.49,0.000e+00,0.000e+00,211.0,,,0.47,0.00,0.00,9.60,1,q1_q17_dr25_tce,2703.00,0.00,0.00,5.274,0.000,0.000,0.1180,0.0000,0.0000,292.503780,41.830421,17.131
9002278,K00701.04,Kepler-62 f,CONFIRMED,CANDIDATE,0.0000,0,0,0,0,267.282521000,4.8100000e-03,-4.8100000e-03,589.7197500,9.160000e-03,-9.160000e-03,0.3780,0.0920,-0.3780,7.78800,0.37400,-0.37400,4.7190e+02,2.690e+01,-2.690e+01,1.43,8.000e-02,-6.000e-02,207.0,,,0.44,0.09,-0.07,19.30,4,q1_q17_dr25_tce,4926.00,98.00,-98.00,4.653,0.017,-0.049,0.6620,0.0410,-0.0270,283.212740,45.349861,13.725
8311864,K07016.01,Kepler-452 b,CONFIRMED,CANDIDATE,0.7710,0,0,0,0,384.847556000,7.1050000e-03,-7.1050000e-03,314.9700000,1.520000e-02,-1.520000e-02,0.0590,0.3870,-0.0590,9.96900,0.44100,-0.44100,1.8990e+02,1.760e+01,-1.760e+01,1.09,2.000e-01,-1.000e-01,220.0,,,0.56,0.32,-0.15,12.30,1,q1_q17_dr25_tce,5579.00,150.00,-150.00,4.580,0.034,-0.127,0.7980,0.1500,-0.0750,296.003690,44.277561,13.426
